Name,Year,Win,Loss,Goal_for,Goal_against
Boston Bruins,1990,44,24,299,264
Buffalo Sabres,1990,31,30,292,278
Calgary Flames,1990,46,26,344,263
Chicago Blackhawks,1990,49,23,284,211
Detroit Red Wings,1990,34,38,273,298
Edmonton Oilers,1990,37,37,272,272
Hartford Whalers,1990,31,38,238,276
Los Angeles Kings,1990,46,24,340,254
Minnesota North Stars,1990,27,39,256,266
Montreal Canadiens,1990,39,30,273,249
New Jersey Devils,1990,32,33,272,264
New York Islanders,1990,25,45,223,290
New York Rangers,1990,36,31,297,265
Philadelphia Flyers,1990,33,37,252,267
Pittsburgh Penguins,1990,41,33,342,305
Quebec Nordiques,1990,16,50,236,354
St. Louis Blues,1990,47,22,310,250
Toronto Maple Leafs,1990,23,46,241,318
Vancouver Canucks,1990,28,43,243,315
Washington Capitals,1990,37,36,258,258
Winnipeg Jets,1990,26,43,260,288
Boston Bruins,1991,36,32,270,275
Buffalo Sabres,1991,31,37,289,299
Calgary Flames,1991,31,37,296,305
Chicago Blackhawks,1991,36,29,257,236
Detroit Red Wings,1991,43,25,320,256
Edmonton Oilers,1991,36,34,295,297
Hartford Whalers,1991,26,41,247,283
Los Angeles Kings,1991,35,31,287,296
Minnesota North Stars,1991,32,42,246,278
Montreal Canadiens,1991,41,28,267,207
New Jersey Devils,1991,38,31,289,259
New York Islanders,1991,34,35,291,299
New York Rangers,1991,50,25,321,246
Philadelphia Flyers,1991,32,37,252,273
Pittsburgh Penguins,1991,39,32,343,308
Quebec Nordiques,1991,20,48,255,318
San Jose Sharks,1991,17,58,219,359
St. Louis Blues,1991,36,33,279,266
Toronto Maple Leafs,1991,30,43,234,294
Vancouver Canucks,1991,42,26,285,250
Washington Capitals,1991,45,27,330,275
Winnipeg Jets,1991,33,32,251,244
Boston Bruins,1992,51,26,332,268
Buffalo Sabres,1992,38,36,335,297
Calgary Flames,1992,43,30,322,282
Chicago Blackhawks,1992,47,25,279,230
Detroit Red Wings,1992,47,28,369,280
Edmonton Oilers,1992,26,50,242,337
Hartford Whalers,1992,26,52,284,369
Los Angeles Kings,1992,39,35,338,340
Minnesota North Stars,1992,36,38,272,293
Montreal Canadiens,1992,48,30,326,280
New Jersey Devils,1992,40,37,308,299
New York Islanders,1992,40,37,335,297
New York Rangers,1992,34,39,304,308
Ottawa Senators,1992,10,70,202,395
Philadelphia Flyers,1992,36,37,319,319
Pittsburgh Penguins,1992,56,21,367,268
Quebec Nordiques,1992,47,27,351,300
San Jose Sharks,1992,11,71,218,414
St. Louis Blues,1992,37,36,282,278
Tampa Bay Lightning,1992,23,54,245,332
Toronto Maple Leafs,1992,44,29,288,241
Vancouver Canucks,1992,46,29,346,278
Washington Capitals,1992,43,34,325,286
Winnipeg Jets,1992,40,37,322,320
Mighty Ducks of Anaheim,1993,33,46,229,251
Boston Bruins,1993,42,29,289,252
Buffalo Sabres,1993,43,32,282,218
Calgary Flames,1993,42,29,302,256
Chicago Blackhawks,1993,39,36,254,240
Dallas Stars,1993,42,29,286,265
Detroit Red Wings,1993,46,30,356,275
Edmonton Oilers,1993,25,45,261,305
Florida Panthers,1993,33,34,233,233
Hartford Whalers,1993,27,48,227,288
Los Angeles Kings,1993,27,45,294,322
Montreal Canadiens,1993,41,29,283,248
New Jersey Devils,1993,47,25,306,220
New York Islanders,1993,36,36,282,264
New York Rangers,1993,52,24,299,231
Ottawa Senators,1993,14,61,201,397
Philadelphia Flyers,1993,35,39,294,314
Pittsburgh Penguins,1993,44,27,299,285
Quebec Nordiques,1993,34,42,277,292
San Jose Sharks,1993,33,35,252,265
St. Louis Blues,1993,40,33,270,283
Tampa Bay Lightning,1993,30,43,224,251
Toronto Maple Leafs,1993,43,29,280,243
Vancouver Canucks,1993,41,40,279,276
Washington Capitals,1993,39,35,277,263
Winnipeg Jets,1993,24,51,245,344
Mighty Ducks of Anaheim,1994,16,27,125,164
Boston Bruins,1994,27,18,150,127
Buffalo Sabres,1994,22,19,130,119
Calgary Flames,1994,24,17,163,135
Chicago Blackhawks,1994,24,19,156,115
Dallas Stars,1994,17,23,136,135
Detroit Red Wings,1994,33,11,180,117
Edmonton Oilers,1994,17,27,136,183
Florida Panthers,1994,20,22,115,127
Hartford Whalers,1994,19,24,127,141
Los Angeles Kings,1994,16,23,142,174
Montreal Canadiens,1994,18,23,125,148
New Jersey Devils,1994,22,18,136,121
New York Islanders,1994,15,28,126,158
New York Rangers,1994,22,23,139,134
Ottawa Senators,1994,9,34,117,174
Philadelphia Flyers,1994,28,16,150,132
Pittsburgh Penguins,1994,29,16,181,158
Quebec Nordiques,1994,30,13,185,134
San Jose Sharks,1994,19,25,129,161
St. Louis Blues,1994,28,15,178,135
Tampa Bay Lightning,1994,17,28,120,144
Toronto Maple Leafs,1994,21,19,135,146
Vancouver Canucks,1994,18,18,153,148
Washington Capitals,1994,22,18,136,120
Winnipeg Jets,1994,16,25,157,177
Mighty Ducks of Anaheim,1995,35,39,234,247
Boston Bruins,1995,40,31,282,269
Buffalo Sabres,1995,33,42,247,262
Calgary Flames,1995,34,37,241,240
Chicago Blackhawks,1995,40,28,273,220
Colorado Avalanche,1995,47,25,326,240
Dallas Stars,1995,26,42,227,280
Detroit Red Wings,1995,62,13,325,181
Edmonton Oilers,1995,30,44,240,304
Florida Panthers,1995,41,31,254,234
